,output,task
862,a oriental,asian oriental
863,oriental,asian oriental
864,the asian oriental,asian oriental
865,asian fusion oriental,asian oriental
866,asian oriental a,asian oriental
867,do asian oriental,asian oriental
868,asian oriental or,asian oriental
869,asian oriental i,asian oriental
870,food,phone
871,,phone
872,food what,phone
873,food,phone
874,food,phone
875,food one,phone
876,food what's,phone
877,food is,phone
878,what,phone
879,,phone
880,can i need a cheap restaurant in west part of town,i need a cheap restaurant in the west part of town
881,can i need a cheap restaurant west part of town,i need a cheap restaurant in the west part of town
882,can i need a cheap restaurant in west part part of town,i need a cheap restaurant in the west part of town
883,can i need a cheap restaurant in west of town,i need a cheap restaurant in the west part of town
884,can i need a cheap restaurant in what part of town,i need a cheap restaurant in the west part of town
885,can i need a cheap restaurant west part part of town,i need a cheap restaurant in the west part of town
886,can i need a cheap restaurant west of town,i need a cheap restaurant in the west part of town
887,can i need a cheap restaurant what part of town,i need a cheap restaurant in the west part of town
888,can i need a cheap restaurant no west part of town,i need a cheap restaurant in the west part of town
889,and i need a cheap restaurant in west part of town,i need a cheap restaurant in the west part of town
890,um english,um english
891,english,um english
892,um uhm english,um english
893,um um english,um english
894,ah english,um english
895,um umm english,um english
896,oh english,um english
897,uhm english,um english
898,um no english,um english
899,um english wish,um english
900,pizza,pizza
901,,pizza
902,pizza cheaper,pizza
903,cheaper,pizza
904,pizza shop,pizza
905,pizza tea,pizza
906,pizza cheap,pizza
907,pizza,pizza
908,pizza,pizza
909,shop,pizza
910,american,american
911,,american
912,american americas,american
913,american american,american
914,the american,american
915,i american,american
916,ok,american
917,a,american
918,i'm,american
919,somewhere,american
920,basque,back
921,back,back
922,that's,back
923,basque to,back
924,basque a,back
925,that,back
926,back to,back
927,back a,back
928,that's to,back
929,that's a,back
930,i'm looking for a cheap price,im looking for a cheap restaurant
931,i'm looking for a cheap that's,im looking for a cheap restaurant
932,i'm looking a cheap price,im looking for a cheap restaurant
933,i'm for a cheap price,im looking for a cheap restaurant
934,i looking for a cheap price,im looking for a cheap restaurant
935,i'm looking looking for a cheap price,im looking for a cheap restaurant
936,i'm looking for a you price,im looking for a cheap restaurant
937,i'm am looking for a cheap price,im looking for a cheap restaurant
938,i'm looking for a cheaper price,im looking for a cheap restaurant
939,looking for a cheap price,im looking for a cheap restaurant
940,you have the addressess,do you have the addresses
941,do have the addressess,do you have the addresses
942,you you have the addressess,do you have the addresses
943,have the addressess,do you have the addresses
944,you have the post,do you have the addresses
945,you have the addressess code,do you have the addresses
946,you and the addressess,do you have the addresses
947,you yeah the addressess,do you have the addresses
948,do you have the addressess,do you have the addresses
949,have the addressess,do you have the addresses
950,type of food,its a type of food
951,of food,its a type of food
952,type type of food,its a type of food
953,what type of food,its a type of food
954,what of food,its a type of food
955,what type type of food,its a type of food
956,the type of food,its a type of food
957,the of food,its a type of food
958,the type type of food,its a type of food
959,the what type of food,its a type of food
960,price,right
961,right,right
962,bye,right
963,bright,right
964,the price,right
965,the right,right
966,and price,right
967,good price,right
968,priced,right
969,and right,right
970,anything else,anything else
971,else,anything else
972,anything anything else,anything else
973,the anything else,anything else
974,i anything else,anything else
975,do anything else,anything else
976,anything else a,anything else
977,can anything else,anything else
978,you else,anything else
979,anything else i,anything else
980,what's the phone number,whats their phone number
